record_number,region,residence_type,family_composition,sex,age,marital_status,student,country_of_birth,health,ethnic_group,religion,economic_activity,occupation,industry,hours_worked_per_week,approximate_social_grade
1,S92000003,P,1,1,3,2,2,2,2,1,5,1,5,5,4,11
2,S92000003,P,0,1,3,1,2,1,2,1,1,1,1,8,3,
3,S92000003,P,1,2,4,2,2,1,3,1,1,1,4,8,2,4
4,S92000003,P,1,2,6,2,2,1,1,1,1,1,2,8,4,2
5,S92000003,P,4,2,4,4,2,1,2,1,1,1,3,11,3,2
6,S92000003,P,1,1,5,2,2,1,1,1,1,1,3,9,3,2
7,S92000003,P,0,1,5,1,2,1,1,1,1,1,9,8,2,4
8,S92000003,P,2,2,1,1,1,1,2,1,1,X,X,X,X,X
9,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
10,S92000003,P,1,1,4,2,2,1,1,1,1,1,5,2,3,3
11,S92000003,P,1,1,4,3,2,1,1,1,1,1,1,4,4,2
12,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
13,S92000003,P,0,2,5,4,2,1,2,1,1,1,3,6,3,2
14,S92000003,P,0,1,3,1,2,1,3,1,1,1,9,8,2,4
15,S92000003,P,2,1,3,1,2,1,2,1,2,1,3,2,3,1
16,S92000003,P,1,1,5,1,2,1,1,1,2,1,9,8,4,4
17,S92000003,P,0,1,4,2,2,1,2,1,1,1,8,4,4,3
18,S92000003,P,2,2,6,4,2,1,4,1,2,5,8,6,X,3
19,S92000003,P,1,1,6,2,2,2,2,1,1,1,5,2,3,3
20,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
21,S92000003,P,0,1,6,4,2,2,2,1,2,1,8,8,3,3
22,S92000003,P,1,1,4,2,2,2,2,1,2,9,9,2,X,4
23,S92000003,P,2,1,2,1,2,1,1,1,1,1,5,8,3,3
24,S92000003,P,2,1,3,1,2,1,1,1,2,1,3,8,3,2
25,S92000003,P,1,2,5,2,2,1,1,1,1,1,6,11,2,4
26,S92000003,P,1,2,4,2,2,1,2,2,2,1,6,11,4,
27,S92000003,P,0,1,7,1,2,1,3,1,1,1,9,2,4,4
28,S92000003,P,1,2,2,1,1,1,1,1,1,4,7,4,1,1
29,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
30,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
31,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
32,S92000003,P,0,2,5,4,2,1,3,1,2,2,3,7,2,2
