record_number,region,residence_type,family_composition,sex,age,marital_status,student,country_of_birth,health,ethnic_group,religion,economic_activity,occupation,industry,hours_worked_per_week,approximate_social_grade
164,S92000003,P,1,2,2,1,1,1,2,1,1,4,X,X,X,2
190,S92000003,P,2,2,2,1,2,1,2,1,1,3,X,X,X,2
199,S92000003,P,1,2,2,1,1,1,2,1,1,4,X,X,X,4
261,S92000003,C,X,2,8,5,2,1,3,1,2,5,X,X,X,X
400,S92000003,P,0,2,8,5,2,1,4,1,2,5,X,X,X,4
503,S92000003,P,1,2,2,1,2,1,2,1,2,3,X,X,X,3
524,S92000003,C,X,1,8,2,2,1,3,1,9,5,X,X,X,X
530,S92000003,P,0,2,8,2,2,1,2,3,2,5,X,X,X,4
533,S92000003,P,3,1,2,1,2,1,2,1,1,3,X,X,X,4
627,S92000003,P,4,2,8,5,2,1,4,1,2,5,X,X,X,4
713,S92000003,P,1,2,7,2,2,1,4,1,2,5,X,X,X,3
862,S92000003,C,X,2,2,1,1,2,2,3,1,4,X,X,X,X
934,S92000003,P,4,2,2,1,2,1,1,1,9,3,X,X,X,4
935,S92000003,P,2,1,2,1,2,1,2,1,1,3,X,X,X,2
1007,S92000003,P,1,2,7,2,2,1,3,1,2,5,X,X,X,4
1024,S92000003,P,1,1,2,1,2,1,1,1,1,3,X,X,X,3
1073,S92000003,P,4,1,2,1,2,1,1,1,2,3,X,X,X,4
1075,S92000003,C,X,1,2,1,1,1,1,1,1,4,X,X,X,X
1211,S92000003,P,4,2,2,1,1,1,1,1,2,4,X,X,X,4
1601,S92000003,C,X,2,2,1,1,2,1,3,1,4,X,X,X,X
1616,S92000003,P,4,1,2,1,1,1,1,1,1,4,X,X,X,2
1755,S92000003,P,0,1,2,1,2,2,2,6,1,3,X,X,X,2
1822,S92000003,P,0,1,4,1,2,1,2,1,2,3,X,X,X,4
1919,S92000003,P,1,2,8,2,2,1,3,1,2,5,X,X,X,4
1992,S92000003,P,1,2,2,1,1,1,2,1,2,4,X,X,X,3
2024,S92000003,P,1,1,2,1,2,1,3,1,2,3,X,X,X,4
2026,S92000003,P,4,1,2,1,2,1,1,1,1,3,X,X,X,4
2029,S92000003,P,3,1,2,1,2,1,1,1,9,3,X,X,X,4
2098,S92000003,P,4,2,2,1,2,1,1,1,1,3,X,X,X,2
2163,S92000003,P,0,2,8,5,2,1,5,1,2,5,X,X,X,4
2165,S92000003,P,2,2,8,5,2,1,2,1,2,5,X,X,X,4
2302,S92000003,P,1,2,2,1,2,1,1,1,2,3,X,X,X,3
2358,S92000003,P,0,2,8,5,2,1,3,1,2,5,X,X,X,4
